region	trait_pair	eur_h4	afr_h4	expected_afr	residual	power_ratio	classification
2:49750000-51250000	stroke-asthma	0.0001	0.0082	0.0001	0.0081	69.700	CONCORDANT_NULL
8:94750000-97250000	stroke-asthma	0.0001	0.0162	0.0001	0.0161	68.819	CONCORDANT_NULL
2:103750000-106250000	stroke-asthma	0.0001	0.0095	0.0001	0.0094	58.456	CONCORDANT_NULL
1:64750000-68250000	stroke-asthma	0.0001	0.0188	0.0001	0.0187	63.611	CONCORDANT_NULL
14:71750000-74250000	stroke-asthma	0.0001	0.0107	0.0001	0.0106	56.064	CONCORDANT_NULL
6:71750000-74250000	stroke-asthma	0.0001	0.0118	0.0001	0.0117	81.607	CONCORDANT_NULL
14:78750000-81250000	stroke-asthma	0.0001	0.0104	0.0001	0.0103	75.000	CONCORDANT_NULL
1:241750000-245250000	stroke-asthma	0.0001	0.0136	0.0001	0.0135	78.382	CONCORDANT_NULL
8:125750000-128250000	stroke-asthma	0.0001	0.0159	0.0001	0.0158	61.198	CONCORDANT_NULL
7:111750000-115250000	stroke-asthma	0.0001	0.0146	0.0001	0.0145	78.190	CONCORDANT_NULL
7:148750000-152250000	t2d-stroke	0.0001	0.0065	0.0001	0.0064	0.754	CONCORDANT_NULL
6:11750000-14250000	stroke-asthma	0.0001	0.0122	0.0001	0.0121	73.569	CONCORDANT_NULL
12:3750000-6250000	stroke-asthma	0.0001	0.0136	0.0001	0.0135	70.824	CONCORDANT_NULL
9:132750000-134250000	stroke-asthma	0.0001	0.0075	0.0001	0.0074	43.088	CONCORDANT_NULL
14:34750000-37250000	stroke-asthma	0.0001	0.0122	0.0001	0.0121	84.107	CONCORDANT_NULL
12:131750000-134250000	stroke-asthma	0.0001	0.0103	0.0001	0.0102	68.483	CONCORDANT_NULL
9:86750000-90250000	stroke-asthma	0.0001	0.0138	0.0001	0.0137	60.700	CONCORDANT_NULL
6:54750000-57250000	stroke-asthma	0.0001	0.0189	0.0001	0.0188	61.192	CONCORDANT_NULL
18:68750000-70250000	stroke-asthma	0.0001	0.0084	0.0001	0.0083	52.912	CONCORDANT_NULL
2:240750000-242250000	stroke-asthma	0.0001	0.0093	0.0001	0.0092	59.934	CONCORDANT_NULL
10:120750000-123250000	stroke-asthma	0.0001	0.0235	0.0001	0.0234	69.720	CONCORDANT_NULL
8:22750000-24250000	stroke-asthma	0.0001	0.0086	0.0001	0.0085	50.750	CONCORDANT_NULL
10:74750000-79250000	stroke-asthma	0.0001	0.0154	0.0001	0.0153	114.131	CONCORDANT_NULL
2:238750000-240250000	stroke-asthma	0.0001	0.0436	0.0001	0.0435	43.532	CONCORDANT_NULL
18:12750000-14250000	stroke-asthma	0.0001	0.0096	0.0001	0.0095	37.067	CONCORDANT_NULL
4:15750000-19250000	stroke-asthma	0.0001	0.0180	0.0001	0.0179	55.153	CONCORDANT_NULL
15:34750000-37250000	stroke-asthma	0.0001	0.0138	0.0001	0.0137	68.045	CONCORDANT_NULL
12:104750000-106250000	stroke-asthma	0.0001	0.0089	0.0001	0.0088	58.500	CONCORDANT_NULL
10:69750000-72250000	stroke-asthma	0.0001	0.0196	0.0001	0.0195	59.330	CONCORDANT_NULL
8:75750000-78250000	stroke-asthma	0.0001	0.0095	0.0001	0.0094	63.607	CONCORDANT_NULL
20:750000-5250000	stroke-asthma	0.0001	0.0150	0.0001	0.0149	66.257	CONCORDANT_NULL
4:84750000-87250000	stroke-asthma	0.0001	0.0119	0.0001	0.0118	65.985	CONCORDANT_NULL
8:131750000-133250000	stroke-asthma	0.0001	0.0149	0.0001	0.0148	51.448	CONCORDANT_NULL
4:5750000-7250000	stroke-asthma	0.0001	0.0093	0.0001	0.0092	47.403	CONCORDANT_NULL
7:105750000-108250000	stroke-asthma	0.0001	0.0144	0.0001	0.0143	58.314	CONCORDANT_NULL
4:118750000-121250000	stroke-asthma	0.0001	0.0149	0.0001	0.0148	60.696	CONCORDANT_NULL
9:80750000-83250000	stroke-asthma	0.0001	0.0154	0.0001	0.0153	76.641	CONCORDANT_NULL
2:14750000-17250000	stroke-asthma	0.0001	0.0116	0.0001	0.0115	66.967	CONCORDANT_NULL
5:65750000-69250000	stroke-asthma	0.0001	0.0122	0.0001	0.0121	79.174	CONCORDANT_NULL
8:115750000-119250000	stroke-asthma	0.0001	0.0124	0.0001	0.0123	81.757	CONCORDANT_NULL
10:120750000-123250000	t2d-stroke	0.0000	0.0161	0.0000	0.0161	0.666	CONCORDANT_NULL
12:107750000-117250000	t2d-stroke	0.0000	0.0162	0.0000	0.0162	0.668	CONCORDANT_NULL
9:20750000-24250000	t2d-stroke	0.0000	0.0111	0.0000	0.0111	0.621	CONCORDANT_NULL
4:79750000-82250000	stroke-asthma	0.0000	0.0188	0.0000	0.0188	82.057	CONCORDANT_NULL
4:170750000-172250000	stroke-asthma	0.0000	0.0083	0.0000	0.0083	56.847	CONCORDANT_NULL
14:28750000-32250000	stroke-asthma	0.0000	0.0185	0.0000	0.0185	88.300	CONCORDANT_NULL
11:91750000-94250000	stroke-asthma	0.0000	0.0132	0.0000	0.0132	85.542	CONCORDANT_NULL
7:88750000-91250000	stroke-asthma	0.0000	0.0175	0.0000	0.0175	60.325	CONCORDANT_NULL
2:78750000-80250000	stroke-asthma	0.0000	0.0102	0.0000	0.0102	69.255	CONCORDANT_NULL
12:25750000-28250000	stroke-asthma	0.0000	0.0225	0.0000	0.0225	62.675	CONCORDANT_NULL
7:101750000-104250000	stroke-asthma	0.0000	0.0221	0.0000	0.0221	88.293	CONCORDANT_NULL
8:40750000-42250000	stroke-asthma	0.0000	0.0086	0.0000	0.0086	54.392	CONCORDANT_NULL
6:99750000-102250000	stroke-asthma	0.0000	0.0251	0.0000	0.0251	63.788	CONCORDANT_NULL
6:92750000-94250000	stroke-asthma	0.0000	0.0071	0.0000	0.0071	47.085	CONCORDANT_NULL
15:25750000-28250000	stroke-asthma	0.0000	0.0104	0.0000	0.0104	87.828	CONCORDANT_NULL
5:169750000-171250000	stroke-asthma	0.0000	0.0072	0.0000	0.0072	47.500	CONCORDANT_NULL
11:34750000-36250000	stroke-asthma	0.0000	0.0079	0.0000	0.0079	63.275	CONCORDANT_NULL
4:59750000-61250000	stroke-asthma	0.0000	0.0072	0.0000	0.0072	64.930	CONCORDANT_NULL
6:168750000-170250000	stroke-asthma	0.0000	0.0071	0.0000	0.0071	51.822	CONCORDANT_NULL
5:16750000-18250000	stroke-asthma	0.0000	0.0101	0.0000	0.0101	50.000	CONCORDANT_NULL
14:20750000-22250000	stroke-asthma	0.0000	0.0096	0.0000	0.0096	48.776	CONCORDANT_NULL
5:163750000-166250000	stroke-asthma	0.0000	0.0096	0.0000	0.0096	78.071	CONCORDANT_NULL
8:137750000-139250000	stroke-asthma	0.0000	0.0095	0.0000	0.0095	58.085	CONCORDANT_NULL
4:179750000-181250000	stroke-asthma	0.0000	0.0207	0.0000	0.0207	53.592	CONCORDANT_NULL
7:33750000-36250000	stroke-asthma	0.0000	0.0139	0.0000	0.0139	59.000	CONCORDANT_NULL
13:88750000-90250000	stroke-asthma	0.0000	0.0232	0.0000	0.0232	40.111	CONCORDANT_NULL
