region	trait_pair	eur_h4	afr_h4	expected_afr	residual	power_ratio	classification
9:110750000-115250000	t2d-stroke	0.0141	0.0102	0.0089	0.0013	0.557	CONCORDANT_NULL
17:74750000-82250000	t2d-stroke	0.0140	0.0208	0.0094	0.0114	0.628	CONCORDANT_NULL
6:132750000-136250000	t2d-asthma	0.0139	0.0270	0.0118	0.0152	67.697	CONCORDANT_NULL
8:137750000-139250000	t2d-stroke	0.0139	0.0042	0.0092	-0.0050	0.603	CONCORDANT_NULL
17:70750000-72250000	t2d-asthma	0.0137	0.0138	0.0116	0.0022	69.474	CONCORDANT_NULL
20:52750000-55250000	t2d-stroke	0.0136	0.0252	0.0099	0.0153	0.730	CONCORDANT_NULL
17:63750000-67250000	t2d-asthma	0.0136	0.0272	0.0116	0.0156	74.092	CONCORDANT_NULL
15:37750000-39250000	t2d-asthma	0.0135	0.0273	0.0115	0.0158	68.267	CONCORDANT_NULL
10:69750000-72250000	t2d-stroke	0.0134	0.0063	0.0089	-0.0026	0.616	CONCORDANT_NULL
6:37750000-45250000	t2d-stroke	0.0133	0.0409	0.0087	0.0322	0.591	CONCORDANT_NULL
19:15750000-20250000	t2d-stroke	0.0132	0.0119	0.0088	0.0031	0.610	CONCORDANT_NULL
8:5750000-7250000	t2d-stroke	0.0132	0.0048	0.0094	-0.0046	0.701	CONCORDANT_NULL
2:160750000-163250000	t2d-stroke	0.0131	0.0026	0.0081	-0.0055	0.532	CONCORDANT_NULL
17:54750000-58250000	stroke-asthma	0.0129	0.0108	0.0110	-0.0002	55.747	CONCORDANT_NULL
4:62750000-64250000	t2d-stroke	0.0129	0.0038	0.0094	-0.0056	0.740	CONCORDANT_NULL
4:82750000-84250000	t2d-asthma	0.0128	0.0092	0.0109	-0.0017	70.563	CONCORDANT_NULL
5:58750000-65250000	t2d-stroke	0.0127	0.0092	0.0087	0.0005	0.648	CONCORDANT_NULL
6:48750000-54250000	t2d-asthma	0.0126	0.0515	0.0107	0.0408	69.679	CONCORDANT_NULL
9:123750000-132250000	t2d-stroke	0.0124	0.0744	0.0088	0.0656	0.695	CONCORDANT_NULL
2:39750000-49250000	t2d-stroke	0.0123	0.0394	0.0084	0.0310	0.639	CONCORDANT_NULL
13:21750000-23250000	t2d-asthma	0.0122	0.0125	0.0104	0.0021	61.944	CONCORDANT_NULL
1:84750000-86250000	t2d-stroke	0.0122	0.0024	0.0081	-0.0057	0.609	CONCORDANT_NULL
3:7750000-17250000	t2d-stroke	0.0122	0.0230	0.0083	0.0147	0.646	CONCORDANT_NULL
14:78750000-81250000	t2d-stroke	0.0121	0.0120	0.0084	0.0036	0.662	CONCORDANT_NULL
8:7750000-12250000	t2d-stroke	0.0120	0.0092	0.0080	0.0012	0.610	CONCORDANT_NULL
9:26750000-32250000	t2d-stroke	0.0120	0.0285	0.0085	0.0200	0.687	CONCORDANT_NULL
14:96750000-105250000	t2d-stroke	0.0120	0.0521	0.0081	0.0440	0.633	CONCORDANT_NULL
4:19750000-22250000	t2d-stroke	0.0120	0.0049	0.0083	-0.0034	0.656	CONCORDANT_NULL
11:59750000-62250000	t2d-stroke	0.0120	0.0054	0.0087	-0.0033	0.734	CONCORDANT_NULL
9:32750000-38250000	t2d-stroke	0.0119	0.0092	0.0082	0.0010	0.656	CONCORDANT_NULL
5:109750000-116250000	t2d-stroke	0.0117	0.0368	0.0080	0.0288	0.641	CONCORDANT_NULL
8:71750000-75250000	t2d-stroke	0.0116	0.0092	0.0080	0.0012	0.651	CONCORDANT_NULL
1:30750000-35250000	t2d-stroke	0.0115	0.0102	0.0081	0.0021	0.685	CONCORDANT_NULL
3:79750000-91250000	t2d-stroke	0.0115	0.0265	0.0082	0.0183	0.708	CONCORDANT_NULL
16:85750000-88250000	t2d-stroke	0.0113	0.0064	0.0079	-0.0015	0.674	CONCORDANT_NULL
6:99750000-102250000	t2d-stroke	0.0113	0.0119	0.0074	0.0045	0.597	CONCORDANT_NULL
11:127750000-129250000	t2d-stroke	0.0112	0.0026	0.0073	-0.0047	0.582	CONCORDANT_NULL
11:0-5250000	t2d-stroke	0.0111	0.0443	0.0073	0.0370	0.603	CONCORDANT_NULL
5:104750000-109250000	t2d-stroke	0.0110	0.0080	0.0070	0.0010	0.559	CONCORDANT_NULL
10:52750000-54250000	t2d-stroke	0.0109	0.0033	0.0072	-0.0039	0.605	CONCORDANT_NULL
7:67750000-81250000	t2d-stroke	0.0108	0.0516	0.0075	0.0441	0.662	CONCORDANT_NULL
8:79750000-83250000	t2d-stroke	0.0108	0.0075	0.0077	-0.0002	0.705	CONCORDANT_NULL
13:21750000-23250000	t2d-stroke	0.0108	0.0038	0.0073	-0.0035	0.633	CONCORDANT_NULL
6:140750000-145250000	t2d-stroke	0.0108	0.0180	0.0079	0.0101	0.733	CONCORDANT_NULL
18:59750000-61250000	t2d-stroke	0.0107	0.0050	0.0068	-0.0018	0.552	CONCORDANT_NULL
1:163750000-165250000	t2d-stroke	0.0106	0.0060	0.0071	-0.0011	0.623	CONCORDANT_NULL
11:129750000-135250000	t2d-stroke	0.0106	0.0077	0.0071	0.0006	0.618	CONCORDANT_NULL
7:88750000-91250000	t2d-stroke	0.0106	0.0031	0.0071	-0.0040	0.628	CONCORDANT_NULL
9:116750000-121250000	t2d-stroke	0.0105	0.0053	0.0071	-0.0018	0.639	CONCORDANT_NULL
7:101750000-104250000	t2d-asthma	0.0104	0.0194	0.0088	0.0106	63.620	CONCORDANT_NULL
8:24750000-29250000	t2d-stroke	0.0104	0.0190	0.0072	0.0118	0.658	CONCORDANT_NULL
5:99750000-104250000	t2d-stroke	0.0104	0.0122	0.0071	0.0051	0.638	CONCORDANT_NULL
6:6750000-10250000	t2d-stroke	0.0104	0.0322	0.0071	0.0251	0.653	CONCORDANT_NULL
6:89750000-91250000	t2d-asthma	0.0104	0.0161	0.0088	0.0073	64.150	CONCORDANT_NULL
5:150750000-155250000	t2d-stroke	0.0103	0.0092	0.0067	0.0025	0.583	CONCORDANT_NULL
9:138750000-141250000	t2d-stroke	0.0103	0.0430	0.0070	0.0360	0.648	CONCORDANT_NULL
8:107750000-109250000	t2d-asthma	0.0103	0.0181	0.0088	0.0093	56.911	CONCORDANT_NULL
11:75750000-79250000	t2d-stroke	0.0102	0.0085	0.0077	0.0008	0.780	CONCORDANT_NULL
8:128750000-130250000	t2d-asthma	0.0100	0.0112	0.0085	0.0027	73.969	CONCORDANT_NULL
5:54750000-58250000	t2d-stroke	0.0099	0.0216	0.0070	0.0146	0.689	CONCORDANT_NULL
5:99750000-104250000	t2d-asthma	0.0099	0.0307	0.0084	0.0223	60.179	CONCORDANT_NULL
8:16750000-18250000	t2d-stroke	0.0099	0.0414	0.0066	0.0348	0.621	CONCORDANT_NULL
12:37750000-40250000	stroke-asthma	0.0098	0.0097	0.0083	0.0014	87.831	CONCORDANT_NULL
7:154750000-158250000	t2d-stroke	0.0097	0.0291	0.0065	0.0226	0.628	CONCORDANT_NULL
4:152750000-154250000	t2d-stroke	0.0097	0.0177	0.0060	0.0117	0.523	CONCORDANT_NULL
12:88750000-92250000	t2d-stroke	0.0096	0.0444	0.0066	0.0378	0.647	CONCORDANT_NULL
13:52750000-55250000	t2d-stroke	0.0096	0.0192	0.0063	0.0129	0.603	CONCORDANT_NULL
3:172750000-174250000	t2d-stroke	0.0096	0.0030	0.0067	-0.0037	0.664	CONCORDANT_NULL
8:125750000-128250000	t2d-stroke	0.0095	0.0051	0.0068	-0.0017	0.709	CONCORDANT_NULL
6:95750000-99250000	stroke-asthma	0.0095	0.0098	0.0081	0.0017	76.145	CONCORDANT_NULL
10:29750000-35250000	t2d-stroke	0.0094	0.0074	0.0068	0.0006	0.728	CONCORDANT_NULL
5:156750000-160250000	t2d-stroke	0.0093	0.0078	0.0060	0.0018	0.578	CONCORDANT_NULL
2:119750000-122250000	t2d-stroke	0.0093	0.0209	0.0063	0.0146	0.644	CONCORDANT_NULL
3:172750000-174250000	t2d-asthma	0.0092	0.0122	0.0078	0.0044	90.958	CONCORDANT_NULL
3:126750000-129250000	stroke-asthma	0.0091	0.0115	0.0077	0.0038	69.438	CONCORDANT_NULL
9:86750000-90250000	t2d-stroke	0.0091	0.0051	0.0062	-0.0011	0.643	CONCORDANT_NULL
7:43750000-47250000	t2d-stroke	0.0091	0.1280	0.0059	0.1221	0.576	AFR_ENRICHED
2:126750000-128250000	t2d-stroke	0.0090	0.0046	0.0059	-0.0013	0.604	CONCORDANT_NULL
8:61750000-63250000	t2d-stroke	0.0090	0.0037	0.0063	-0.0026	0.688	CONCORDANT_NULL
15:50750000-54250000	t2d-stroke	0.0090	0.0091	0.0066	0.0025	0.752	CONCORDANT_NULL
20:7750000-13250000	t2d-stroke	0.0090	0.0086	0.0062	0.0024	0.663	CONCORDANT_NULL
20:750000-5250000	t2d-stroke	0.0090	0.0057	0.0060	-0.0003	0.621	CONCORDANT_NULL
17:750000-8250000	t2d-stroke	0.0089	0.0218	0.0060	0.0158	0.636	CONCORDANT_NULL
6:62750000-65250000	t2d-stroke	0.0088	0.0127	0.0060	0.0067	0.634	CONCORDANT_NULL
8:94750000-97250000	t2d-stroke	0.0087	0.0320	0.0059	0.0261	0.638	CONCORDANT_NULL
5:85750000-93250000	t2d-stroke	0.0085	0.0315	0.0055	0.0260	0.580	CONCORDANT_NULL
11:26750000-33250000	t2d-stroke	0.0084	0.0149	0.0057	0.0092	0.637	CONCORDANT_NULL
15:84750000-87250000	t2d-stroke	0.0084	0.0163	0.0052	0.0111	0.524	CONCORDANT_NULL
16:5750000-8250000	t2d-stroke	0.0084	0.0118	0.0060	0.0058	0.699	CONCORDANT_NULL
2:240750000-242250000	t2d-asthma	0.0082	0.0129	0.0070	0.0059	56.811	CONCORDANT_NULL
4:84750000-87250000	t2d-asthma	0.0082	0.0248	0.0070	0.0178	67.516	CONCORDANT_NULL
12:46750000-59250000	t2d-stroke	0.0082	0.0527	0.0057	0.0470	0.679	CONCORDANT_NULL
2:141750000-150250000	t2d-stroke	0.0082	0.0102	0.0055	0.0047	0.626	CONCORDANT_NULL
15:25750000-28250000	t2d-stroke	0.0081	0.0039	0.0056	-0.0017	0.654	CONCORDANT_NULL
17:8750000-10250000	t2d-stroke	0.0081	0.0037	0.0054	-0.0017	0.615	CONCORDANT_NULL
11:34750000-36250000	t2d-asthma	0.0081	0.0125	0.0069	0.0056	60.911	CONCORDANT_NULL
12:65750000-72250000	t2d-stroke	0.0081	0.0444	0.0055	0.0389	0.641	CONCORDANT_NULL
6:95750000-99250000	t2d-stroke	0.0080	0.0071	0.0051	0.0020	0.563	CONCORDANT_NULL
7:148750000-152250000	t2d-asthma	0.0080	0.0253	0.0068	0.0185	69.029	CONCORDANT_NULL
3:192750000-198250000	t2d-stroke	0.0080	0.0109	0.0051	0.0058	0.569	CONCORDANT_NULL
3:175750000-178250000	t2d-stroke	0.0080	0.0070	0.0053	0.0017	0.612	CONCORDANT_NULL
13:71750000-74250000	t2d-stroke	0.0080	0.0062	0.0051	0.0011	0.553	CONCORDANT_NULL
8:104750000-107250000	t2d-stroke	0.0079	0.0072	0.0053	0.0019	0.620	CONCORDANT_NULL
11:94750000-98250000	t2d-stroke	0.0079	0.0169	0.0051	0.0118	0.577	CONCORDANT_NULL
11:44750000-52250000	t2d-stroke	0.0079	0.0066	0.0050	0.0016	0.561	CONCORDANT_NULL
1:30750000-35250000	t2d-asthma	0.0078	0.0344	0.0066	0.0278	63.240	CONCORDANT_NULL
14:87750000-89250000	t2d-stroke	0.0078	0.0092	0.0056	0.0036	0.725	CONCORDANT_NULL
12:131750000-134250000	t2d-stroke	0.0078	0.0106	0.0053	0.0053	0.637	CONCORDANT_NULL
4:142750000-149250000	stroke-asthma	0.0078	0.0167	0.0066	0.0101	80.362	CONCORDANT_NULL
17:63750000-67250000	t2d-stroke	0.0077	0.0082	0.0052	0.0030	0.633	CONCORDANT_NULL
3:26750000-31250000	t2d-stroke	0.0077	0.0070	0.0054	0.0016	0.677	CONCORDANT_NULL
1:216750000-220250000	t2d-stroke	0.0077	0.0084	0.0051	0.0033	0.600	CONCORDANT_NULL
5:41750000-44250000	t2d-stroke	0.0076	0.0026	0.0048	-0.0022	0.555	CONCORDANT_NULL
16:22750000-25250000	t2d-stroke	0.0075	0.0058	0.0051	0.0007	0.638	CONCORDANT_NULL
10:90750000-101250000	t2d-stroke	0.0075	0.0151	0.0049	0.0102	0.586	CONCORDANT_NULL
10:3750000-5250000	t2d-stroke	0.0074	0.0025	0.0045	-0.0020	0.520	CONCORDANT_NULL
7:111750000-115250000	t2d-stroke	0.0074	0.0050	0.0049	0.0001	0.596	CONCORDANT_NULL
17:37750000-50250000	t2d-stroke	0.0074	0.0248	0.0049	0.0199	0.605	CONCORDANT_NULL
2:18750000-21250000	t2d-stroke	0.0074	0.0097	0.0049	0.0048	0.609	CONCORDANT_NULL
3:132750000-139250000	t2d-stroke	0.0074	0.0056	0.0048	0.0008	0.579	CONCORDANT_NULL
10:123750000-127250000	t2d-stroke	0.0073	0.0118	0.0047	0.0071	0.584	CONCORDANT_NULL
3:155750000-159250000	t2d-stroke	0.0073	0.0048	0.0051	-0.0003	0.666	CONCORDANT_NULL
12:119750000-125250000	t2d-stroke	0.0072	0.0260	0.0049	0.0211	0.634	CONCORDANT_NULL
7:4750000-8250000	t2d-stroke	0.0072	0.0085	0.0047	0.0038	0.592	CONCORDANT_NULL
7:48750000-52250000	t2d-stroke	0.0071	0.0064	0.0048	0.0016	0.636	CONCORDANT_NULL
22:49750000-51250000	t2d-stroke	0.0071	0.0120	0.0047	0.0073	0.600	CONCORDANT_NULL
4:142750000-149250000	t2d-stroke	0.0071	0.0083	0.0051	0.0032	0.726	CONCORDANT_NULL
3:60750000-67250000	t2d-stroke	0.0070	0.0156	0.0047	0.0109	0.612	CONCORDANT_NULL
4:100750000-107250000	t2d-stroke	0.0070	0.0239	0.0049	0.0190	0.672	CONCORDANT_NULL
13:37750000-42250000	t2d-stroke	0.0070	0.0181	0.0050	0.0131	0.708	CONCORDANT_NULL
13:49750000-52250000	t2d-stroke	0.0070	0.0100	0.0046	0.0054	0.590	CONCORDANT_NULL
20:14750000-18250000	t2d-stroke	0.0070	0.0083	0.0046	0.0037	0.598	CONCORDANT_NULL
7:12750000-23250000	t2d-stroke	0.0068	0.0519	0.0047	0.0472	0.649	CONCORDANT_NULL
4:88750000-90250000	t2d-stroke	0.0068	0.0191	0.0047	0.0144	0.656	CONCORDANT_NULL
16:48750000-55250000	t2d-stroke	0.0068	0.0459	0.0047	0.0412	0.660	CONCORDANT_NULL
2:84750000-87250000	t2d-stroke	0.0068	0.0071	0.0044	0.0027	0.568	CONCORDANT_NULL
8:40750000-42250000	t2d-stroke	0.0067	0.0369	0.0046	0.0323	0.658	CONCORDANT_NULL
10:20750000-24250000	t2d-stroke	0.0067	0.0050	0.0047	0.0003	0.680	CONCORDANT_NULL
2:34750000-38250000	t2d-stroke	0.0067	0.0069	0.0044	0.0025	0.601	CONCORDANT_NULL
1:14750000-18250000	t2d-stroke	0.0067	0.0192	0.0046	0.0146	0.649	CONCORDANT_NULL
9:80750000-83250000	t2d-stroke	0.0067	0.0129	0.0046	0.0083	0.639	CONCORDANT_NULL
17:58750000-63250000	t2d-stroke	0.0066	0.0050	0.0048	0.0002	0.730	CONCORDANT_NULL
2:180750000-184250000	t2d-stroke	0.0065	0.0059	0.0042	0.0017	0.591	CONCORDANT_NULL
10:79750000-83250000	t2d-stroke	0.0065	0.0102	0.0044	0.0058	0.641	CONCORDANT_NULL
9:0-3250000	t2d-stroke	0.0064	0.0067	0.0046	0.0021	0.717	CONCORDANT_NULL
22:17750000-21250000	t2d-stroke	0.0064	0.0054	0.0043	0.0011	0.615	CONCORDANT_NULL
14:66750000-71250000	t2d-stroke	0.0064	0.0126	0.0040	0.0086	0.535	CONCORDANT_NULL
10:130750000-132250000	t2d-stroke	0.0064	0.0033	0.0043	-0.0010	0.611	CONCORDANT_NULL
19:750000-2250000	t2d-stroke	0.0064	0.0088	0.0044	0.0044	0.654	CONCORDANT_NULL
9:100750000-105250000	t2d-stroke	0.0064	0.0049	0.0041	0.0008	0.565	CONCORDANT_NULL
4:15750000-19250000	t2d-stroke	0.0064	0.0048	0.0042	0.0006	0.605	CONCORDANT_NULL
13:93750000-95250000	t2d-stroke	0.0064	0.0057	0.0047	0.0010	0.731	CONCORDANT_NULL
21:29750000-31250000	t2d-stroke	0.0063	0.0030	0.0049	-0.0019	0.822	CONCORDANT_NULL
5:138750000-143250000	t2d-stroke	0.0062	0.0072	0.0042	0.0030	0.631	CONCORDANT_NULL
1:76750000-81250000	t2d-stroke	0.0061	0.0097	0.0042	0.0055	0.648	CONCORDANT_NULL
12:0-3250000	t2d-stroke	0.0061	0.0064	0.0041	0.0023	0.612	CONCORDANT_NULL
7:136750000-141250000	t2d-stroke	0.0061	0.0062	0.0042	0.0020	0.646	CONCORDANT_NULL
1:111750000-114250000	t2d-stroke	0.0060	0.0057	0.0042	0.0015	0.667	CONCORDANT_NULL
1:170750000-178250000	t2d-stroke	0.0060	0.0200	0.0040	0.0160	0.617	CONCORDANT_NULL
19:43750000-48250000	t2d-stroke	0.0060	0.0193	0.0041	0.0152	0.642	CONCORDANT_NULL
5:65750000-69250000	t2d-stroke	0.0060	0.0225	0.0040	0.0185	0.620	CONCORDANT_NULL
1:166750000-168250000	t2d-stroke	0.0060	0.0026	0.0041	-0.0015	0.638	CONCORDANT_NULL
10:74750000-79250000	t2d-stroke	0.0060	0.0213	0.0045	0.0168	0.779	CONCORDANT_NULL
7:101750000-104250000	t2d-stroke	0.0060	0.0222	0.0044	0.0178	0.749	CONCORDANT_NULL
12:30750000-32250000	t2d-stroke	0.0059	0.0062	0.0040	0.0022	0.630	CONCORDANT_NULL
1:21750000-26250000	t2d-stroke	0.0059	0.0160	0.0042	0.0118	0.690	CONCORDANT_NULL
1:750000-4250000	t2d-stroke	0.0059	0.0098	0.0041	0.0057	0.654	CONCORDANT_NULL
13:57750000-61250000	stroke-asthma	0.0058	0.0173	0.0049	0.0124	54.632	CONCORDANT_NULL
4:82750000-84250000	t2d-stroke	0.0058	0.0030	0.0041	-0.0011	0.707	CONCORDANT_NULL
19:20750000-23250000	t2d-stroke	0.0058	0.0066	0.0044	0.0022	0.787	CONCORDANT_NULL
9:12750000-17250000	t2d-stroke	0.0058	0.0108	0.0041	0.0067	0.687	CONCORDANT_NULL
2:195750000-197250000	t2d-stroke	0.0058	0.0025	0.0042	-0.0017	0.740	CONCORDANT_NULL
22:39750000-43250000	t2d-stroke	0.0057	0.0036	0.0040	-0.0004	0.692	CONCORDANT_NULL
15:97750000-101250000	t2d-stroke	0.0057	0.0060	0.0040	0.0020	0.683	CONCORDANT_NULL
3:76750000-79250000	t2d-stroke	0.0057	0.0042	0.0043	-0.0001	0.773	CONCORDANT_NULL
1:61750000-63250000	t2d-stroke	0.0056	0.0048	0.0039	0.0009	0.671	CONCORDANT_NULL
1:144750000-147250000	t2d-stroke	0.0056	0.0038	0.0041	-0.0003	0.730	CONCORDANT_NULL
13:95750000-100250000	t2d-stroke	0.0055	0.0114	0.0038	0.0076	0.645	CONCORDANT_NULL
4:66750000-69250000	t2d-stroke	0.0055	0.0036	0.0039	-0.0003	0.706	CONCORDANT_NULL
3:34750000-36250000	t2d-stroke	0.0055	0.0042	0.0036	0.0006	0.596	CONCORDANT_NULL
5:34750000-36250000	t2d-stroke	0.0055	0.0036	0.0037	-0.0001	0.622	CONCORDANT_NULL
8:131750000-133250000	t2d-stroke	0.0055	0.0172	0.0035	0.0137	0.569	CONCORDANT_NULL
6:132750000-136250000	t2d-stroke	0.0055	0.0071	0.0039	0.0032	0.690	CONCORDANT_NULL
7:105750000-108250000	t2d-stroke	0.0055	0.0147	0.0036	0.0111	0.601	CONCORDANT_NULL
5:126750000-129250000	t2d-stroke	0.0055	0.0062	0.0037	0.0025	0.613	CONCORDANT_NULL
3:19750000-21250000	t2d-stroke	0.0055	0.0063	0.0038	0.0025	0.674	CONCORDANT_NULL
1:106750000-111250000	t2d-stroke	0.0054	0.0090	0.0038	0.0052	0.690	CONCORDANT_NULL
11:88750000-91250000	t2d-stroke	0.0054	0.0099	0.0038	0.0061	0.702	CONCORDANT_NULL
13:35750000-37250000	t2d-stroke	0.0054	0.0051	0.0036	0.0015	0.612	CONCORDANT_NULL
11:101750000-103250000	t2d-stroke	0.0054	0.0056	0.0036	0.0020	0.617	CONCORDANT_NULL
1:88750000-91250000	t2d-stroke	0.0054	0.0030	0.0038	-0.0008	0.701	CONCORDANT_NULL
13:77750000-82250000	t2d-stroke	0.0054	0.0207	0.0036	0.0171	0.613	CONCORDANT_NULL
15:37750000-39250000	t2d-stroke	0.0053	0.0230	0.0036	0.0194	0.626	CONCORDANT_NULL
11:94750000-98250000	t2d-asthma	0.0053	0.0439	0.0045	0.0394	65.265	CONCORDANT_NULL
3:167750000-172250000	t2d-stroke	0.0052	0.0336	0.0036	0.0300	0.662	CONCORDANT_NULL
4:24750000-27250000	t2d-stroke	0.0052	0.0045	0.0037	0.0008	0.688	CONCORDANT_NULL
6:14750000-16250000	t2d-stroke	0.0052	0.0192	0.0035	0.0157	0.643	CONCORDANT_NULL
19:38750000-43250000	t2d-stroke	0.0052	0.0363	0.0036	0.0327	0.651	CONCORDANT_NULL
8:750000-2250000	t2d-stroke	0.0052	0.0042	0.0035	0.0007	0.629	CONCORDANT_NULL
10:101750000-108250000	t2d-stroke	0.0052	0.0253	0.0035	0.0218	0.630	CONCORDANT_NULL
3:106750000-109250000	t2d-stroke	0.0051	0.0077	0.0034	0.0043	0.615	CONCORDANT_NULL
5:0-2250000	t2d-stroke	0.0051	0.0053	0.0032	0.0021	0.548	CONCORDANT_NULL
2:51750000-54250000	t2d-stroke	0.0051	0.0059	0.0036	0.0023	0.700	CONCORDANT_NULL
8:35750000-37250000	t2d-stroke	0.0051	0.0131	0.0043	0.0088	0.985	CONCORDANT_NULL
2:14750000-17250000	t2d-stroke	0.0050	0.1235	0.0032	0.1203	0.559	AFR_ENRICHED
2:170750000-176250000	t2d-stroke	0.0050	0.0069	0.0032	0.0037	0.553	CONCORDANT_NULL
15:39750000-45250000	t2d-stroke	0.0050	0.0152	0.0037	0.0115	0.775	CONCORDANT_NULL
18:75750000-77250000	t2d-stroke	0.0049	0.0037	0.0031	0.0006	0.557	CONCORDANT_NULL
19:50750000-52250000	t2d-stroke	0.0049	0.0035	0.0032	0.0003	0.606	CONCORDANT_NULL
12:95750000-100250000	t2d-stroke	0.0049	0.0067	0.0032	0.0035	0.584	CONCORDANT_NULL
8:107750000-109250000	t2d-stroke	0.0049	0.0023	0.0036	-0.0013	0.728	CONCORDANT_NULL
14:76750000-78250000	t2d-stroke	0.0049	0.0087	0.0034	0.0053	0.658	CONCORDANT_NULL
15:65750000-70250000	t2d-stroke	0.0049	0.0056	0.0034	0.0022	0.670	CONCORDANT_NULL
4:37750000-41250000	t2d-stroke	0.0049	0.0090	0.0032	0.0058	0.601	CONCORDANT_NULL
9:7750000-12250000	t2d-stroke	0.0049	0.0122	0.0033	0.0089	0.646	CONCORDANT_NULL
12:25750000-28250000	t2d-stroke	0.0048	0.0190	0.0032	0.0158	0.613	CONCORDANT_NULL
8:88750000-91250000	t2d-stroke	0.0048	0.0096	0.0033	0.0063	0.662	CONCORDANT_NULL
18:49750000-59250000	t2d-stroke	0.0048	0.0256	0.0032	0.0224	0.621	CONCORDANT_NULL
1:71750000-76250000	t2d-stroke	0.0048	0.0093	0.0034	0.0059	0.680	CONCORDANT_NULL
2:99750000-103250000	t2d-stroke	0.0048	0.0045	0.0033	0.0012	0.635	CONCORDANT_NULL
11:83750000-86250000	t2d-stroke	0.0048	0.0123	0.0032	0.0091	0.629	CONCORDANT_NULL
19:29750000-35250000	t2d-stroke	0.0048	0.0103	0.0033	0.0070	0.639	CONCORDANT_NULL
16:65750000-78250000	t2d-stroke	0.0048	0.0550	0.0034	0.0516	0.678	CONCORDANT_NULL
11:7750000-12250000	t2d-stroke	0.0048	0.0205	0.0033	0.0172	0.663	CONCORDANT_NULL
2:235750000-237250000	t2d-stroke	0.0048	0.0036	0.0034	0.0002	0.675	CONCORDANT_NULL
13:37750000-42250000	t2d-asthma	0.0048	0.0420	0.0041	0.0379	64.857	CONCORDANT_NULL
3:130750000-132250000	t2d-stroke	0.0048	0.0039	0.0034	0.0005	0.688	CONCORDANT_NULL
6:4750000-6250000	t2d-stroke	0.0048	0.0318	0.0031	0.0287	0.586	CONCORDANT_NULL
10:83750000-85250000	t2d-stroke	0.0047	0.0055	0.0033	0.0022	0.701	CONCORDANT_NULL
19:48750000-50250000	t2d-stroke	0.0047	0.0045	0.0033	0.0012	0.667	CONCORDANT_NULL
4:5750000-7250000	t2d-stroke	0.0047	0.0037	0.0030	0.0007	0.576	CONCORDANT_NULL
13:57750000-61250000	t2d-stroke	0.0047	0.0084	0.0030	0.0054	0.550	CONCORDANT_NULL
13:24750000-29250000	t2d-stroke	0.0047	0.0179	0.0032	0.0147	0.630	CONCORDANT_NULL
1:208750000-211250000	t2d-stroke	0.0047	0.0183	0.0031	0.0152	0.618	CONCORDANT_NULL
5:13750000-15250000	t2d-stroke	0.0047	0.0662	0.0032	0.0630	0.645	CONCORDANT_NULL
14:59750000-61250000	t2d-stroke	0.0047	0.0019	0.0029	-0.0010	0.540	CONCORDANT_NULL
16:1750000-5250000	t2d-stroke	0.0047	0.0281	0.0035	0.0246	0.762	CONCORDANT_NULL
12:32750000-34250000	t2d-stroke	0.0047	0.0351	0.0033	0.0318	0.680	CONCORDANT_NULL
8:29750000-31250000	t2d-stroke	0.0047	0.0076	0.0033	0.0043	0.680	CONCORDANT_NULL
2:23750000-30250000	t2d-stroke	0.0047	0.0119	0.0030	0.0089	0.576	CONCORDANT_NULL
2:233750000-235250000	t2d-asthma	0.0047	0.0121	0.0040	0.0081	51.896	CONCORDANT_NULL
1:188750000-192250000	t2d-stroke	0.0047	0.0111	0.0032	0.0079	0.658	CONCORDANT_NULL
20:46750000-52250000	t2d-stroke	0.0047	0.0194	0.0031	0.0163	0.615	CONCORDANT_NULL
16:26750000-32250000	t2d-stroke	0.0046	0.0076	0.0034	0.0042	0.759	CONCORDANT_NULL
11:7750000-12250000	t2d-asthma	0.0046	0.0959	0.0039	0.0920	55.832	CONCORDANT_NULL
1:241750000-245250000	t2d-asthma	0.0046	0.0388	0.0039	0.0349	74.915	CONCORDANT_NULL
5:175750000-177250000	t2d-stroke	0.0046	0.0035	0.0030	0.0005	0.595	CONCORDANT_NULL
8:100750000-104250000	t2d-stroke	0.0046	0.0057	0.0031	0.0026	0.628	CONCORDANT_NULL
4:135750000-139250000	t2d-stroke	0.0046	0.0053	0.0030	0.0023	0.593	CONCORDANT_NULL
2:168750000-170250000	t2d-stroke	0.0046	0.0040	0.0033	0.0007	0.700	CONCORDANT_NULL
14:90750000-95250000	t2d-stroke	0.0046	0.0143	0.0031	0.0112	0.619	CONCORDANT_NULL
1:200750000-206250000	t2d-stroke	0.0045	0.0437	0.0030	0.0407	0.608	CONCORDANT_NULL
14:32750000-34250000	t2d-stroke	0.0045	0.0054	0.0030	0.0024	0.630	CONCORDANT_NULL
10:15750000-20250000	t2d-stroke	0.0044	0.0088	0.0031	0.0057	0.693	CONCORDANT_NULL
20:18750000-22250000	t2d-stroke	0.0044	0.0036	0.0030	0.0006	0.640	CONCORDANT_NULL
4:29750000-32250000	t2d-stroke	0.0044	0.0045	0.0027	0.0018	0.521	CONCORDANT_NULL
6:86750000-88250000	t2d-asthma	0.0044	0.0123	0.0037	0.0086	55.916	CONCORDANT_NULL
3:31750000-34250000	t2d-stroke	0.0044	0.0044	0.0029	0.0015	0.606	CONCORDANT_NULL
