region_safe	region_id	source	notes
r00060__sub00_15_28470995_36117430	m2_region_00060__sub00	m2_union	synthetic slug; M2 region union
r00060__sub01_15_30117430_40763865	m2_region_00060__sub01	m2_union	synthetic slug; M2 region union
r00060__sub02_15_34763865_45410300	m2_region_00060__sub02	m2_union	synthetic slug; M2 region union
r00060__sub03_15_39410300_50056735	m2_region_00060__sub03	m2_union	synthetic slug; M2 region union
r00060__sub04_15_44056735_54703170	m2_region_00060__sub04	m2_union	synthetic slug; M2 region union
r00060__sub05_15_48703170_59349605	m2_region_00060__sub05	m2_union	synthetic slug; M2 region union
r00060__sub06_15_53349605_63996040	m2_region_00060__sub06	m2_union	synthetic slug; M2 region union
r00060__sub07_15_57996040_68642475	m2_region_00060__sub07	m2_union	synthetic slug; M2 region union
r00060__sub08_15_62642475_73288910	m2_region_00060__sub08	m2_union	synthetic slug; M2 region union
r00060__sub09_15_67288910_77935345	m2_region_00060__sub09	m2_union	synthetic slug; M2 region union
r00060__sub10_15_71935345_82581780	m2_region_00060__sub10	m2_union	synthetic slug; M2 region union
r00060__sub11_15_76581780_87228215	m2_region_00060__sub11	m2_union	synthetic slug; M2 region union
r00060__sub12_15_81228215_91874650	m2_region_00060__sub12	m2_union	synthetic slug; M2 region union
r00060__sub13_15_85874650_93521095	m2_region_00060__sub13	m2_union	synthetic slug; M2 region union
r00061_15_93728149_101980877	m2_region_00061	m2_union	synthetic slug; M2 region union
r00062_16_10000_8021252	m2_region_00062	m2_union	synthetic slug; M2 region union
r00063_16_8059389_22080730	m2_region_00063	m2_union	synthetic slug; M2 region union
r00064_16_22522777_25852386	m2_region_00064	m2_union	synthetic slug; M2 region union
r00065_16_26412180_32918704	m2_region_00065	m2_union	synthetic slug; M2 region union
r00066_16_33633718_36050704	m2_region_00066	m2_union	synthetic slug; M2 region union
r00067_16_46391700_90227947	m2_region_00067	m2_union	synthetic slug; M2 region union
r00068_17_150207_22763450	m2_region_00068	m2_union	synthetic slug; M2 region union
r00069_17_26936721_53095823	m2_region_00069	m2_union	synthetic slug; M2 region union
r00070_17_53669735_62419436	m2_region_00070	m2_union	synthetic slug; M2 region union
r00071_17_62471587_83247054	m2_region_00071	m2_union	synthetic slug; M2 region union
r00072_18_10000_15410582	m2_region_00072	m2_union	synthetic slug; M2 region union
r00073_18_20931259_28385617	m2_region_00073	m2_union	synthetic slug; M2 region union
r00074_18_28818669_30818667	m2_region_00074	m2_union	synthetic slug; M2 region union
r00075_18_30962741_37591551	m2_region_00075	m2_union	synthetic slug; M2 region union
r00076_18_37602477_40455787	m2_region_00076	m2_union	synthetic slug; M2 region union
r00077_18_40607206_51613868	m2_region_00077	m2_union	synthetic slug; M2 region union
r00078_18_51759028_68124322	m2_region_00078	m2_union	synthetic slug; M2 region union
r00079_18_68140643_77143625	m2_region_00079	m2_union	synthetic slug; M2 region union
r00080_18_77475128_80258655	m2_region_00080	m2_union	synthetic slug; M2 region union
r00081_19_60000_22906520	m2_region_00081	m2_union	synthetic slug; M2 region union
r00082_19_23240631_24448161	m2_region_00082	m2_union	synthetic slug; M2 region union
r00083_19_27241278_58606629	m2_region_00083	m2_union	synthetic slug; M2 region union
r00084_2_10000_4964218	m2_region_00084	m2_union	synthetic slug; M2 region union
r00085_2_5014332_7021579	m2_region_00085	m2_union	synthetic slug; M2 region union
r00086_2_7468140_13605187	m2_region_00086	m2_union	synthetic slug; M2 region union
